source,published_se_bn,object,used_in_headline_interval,reason
"ledger_absolute_2026_09_17 replicate SDR, union complete endpoint",8.700282162278882,"partial-plus-priced-items ledger, CPS-level dollars",False,"Different account: ledger dollars come from CPS microdata; the complete account fixes national BEA totals, so its CPS error is rebuilt directly on the key shares (row 'CPS fiscal keys')."
"all_age_ledger_2026_09_17 estimates.csv se_meps, union absolute_total",7.707191525508232,all-age partial ledger; MEPS donor means set medical dollar levels,False,"In the complete account BEA program totals are fixed and MEPS means only split them between groups; the donor error is recomputed on that share (row 'MEPS donor, key shares')."
"all_age_ledger_2026_09_17 estimates.csv se_cps, union absolute_total",6.0896888360204,all-age partial ledger,False,Same as above; superseded for this object by the direct key-share replicate rebuild.
ledger item M (MEPS-to-NHEA coverage scaling) replicate SE,0.4034765293871742,ledger item M,False,No item M in the complete account: medical programs enter at BEA Table 3.12 totals; the scaling ratio it corrects does not exist here. Item M's own donor error was never published.
lineage_cost_2026_09_19 via all_age estimates.csv se_cps/se_meps,,lifetime/lineage projections,False,"Lifetime object, not the annual complete account."
period_uncertainty_2026_09_19 period profiles,,adult lifetime period profiles,False,"Lifetime object, not the annual complete account."
full_account_receipts allocation_keys.csv target_share_sampling_se,,complete-account receipt key shares,True,Reproduced exactly from 161 weights; used jointly (with covariance) inside 'CPS fiscal keys'.
full_account_benefits benefit_scenarios.csv private_plus_receipts_se_sampling_bn,,production term P+F (GDP 1.12 / cash 0.74),True,"Carried as its own term; replicate vectors not exported, so covariance with the fiscal keys is unknown (independence plus a rho=+1 envelope)."
school_enrollment_2026_09_20 correction_effects.csv school SE (October+March CPS),1.8546599618188724,enrollment correction to target school spending only,True,Only the correction's sampling error is published; it is applied as a relative error on the education key. The base school incidence key has no published replicate error (partial coverage).
production_nativity_nest nest_headline.csv SE,,nested production term at each epsilon,False,Used only in the epsilon sensitivity rows.
ledger_recut g_composition.csv elasticity_se,,cross-state service elasticities for ledger item G,False,Headline uses CBO's 0.37/0.34 coefficients as two arms; their standard errors are not in the repository.
"THIS LANE: CPS fiscal keys, personal (161-weight rebuild)",10.001570845459751,"direct receipts, transfers and services jointly",True,"Receipts SE 8.22, transfers 5.46; positively correlated, so the net SE is below their quadrature sum."
"THIS LANE: MEPS donor, key shares, personal",6.741772658416773,"Medicare, Medicaid, VA, TRICARE and health-services key shares",True,"Stratified-PSU Taylor covariance over 5 payer means x 10 age/birth cells, estimator checked against donor_model."
"THIS LANE: CPS fiscal keys, shared (161-weight rebuild)",10.007115863904428,"direct receipts, transfers and services jointly",True,"Receipts SE 8.40, transfers 5.59; positively correlated, so the net SE is below their quadrature sum."
"THIS LANE: MEPS donor, key shares, shared",6.741772658416773,"Medicare, Medicaid, VA, TRICARE and health-services key shares",True,"Stratified-PSU Taylor covariance over 5 payer means x 10 age/birth cells, estimator checked against donor_model."
